objid,acquisid,objtime,latitude,longitude,depth_min,depth_max,objdate,orig_id,sample_id,project_id,images_imgid,images_objid,images_imgrank,images_width,images_height,images_orig_file_name,images_file_name,free_columns_label,free_columns_width,free_columns_height,free_columns_bx,free_columns_by,free_columns_circ.,free_columns_area_exc,free_columns_area,free_columns_%area,free_columns_major,free_columns_minor,free_columns_y,free_columns_x,free_columns_convex_area,free_columns_perim.,free_columns_elongation,free_columns_perimareaexc,free_columns_perimmajor,free_columns_circex,free_columns_angle,free_columns_bounding_box_area,free_columns_eccentricity,free_columns_equivalent_diameter,free_columns_euler_number,free_columns_extent,free_columns_local_centroid_col,free_columns_local_centroid_row,free_columns_solidity,free_columns_meanhue,free_columns_meansaturation,free_columns_meanvalue,free_columns_stdhue,free_columns_stdsaturation,free_columns_stdvalue,random_value
583092261,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_49_368176_4,530575,12053,682719178,583092261,211,135,136,19_30_49_368176_4.jpg,68271/9178.jpg,210.0,115.0,116.0,979.0,676.0,0.089730406335888,2807.0,2807.0,0.0,138.98061922558932,57.44696685263138,745.587103669398,1024.127894549341,8079.0,626.9838020778235,2.419285592259659,0.2233643755175716,4.5113038463307,0.089730406335888,55.92972940287208,13340.0,0.9105744205511556,59.782801892112765,1.0,0.2104197901049475,45.12789454934094,69.58710366939793,0.3474439905928951,70.24866405415034,3.0687566797292485,243.6993231207695,67.18021117825151,3.276788962834085,8.788417190032957,0
583092262,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_49_368176_5,530575,12053,682719179,583092262,212,196,169,19_30_49_368176_5.jpg,68271/9179.jpg,211.0,176.0,149.0,75.0,802.0,0.0698389935733418,6227.0,7669.0,0.1880297300821489,201.8426820154314,71.25544874335704,881.1557732455436,157.48305765215994,13760.0,1174.6955262170047,2.8326631236639104,0.1886454996333715,5.819856902848706,0.0567071864625374,142.12351774372388,26224.0,0.9356140088258116,89.04191510219138,-3.0,0.237454240390482,82.48305765215994,79.1557732455436,0.4525436046511628,83.27774155691746,6.362367974964141,245.0914069630982,61.9772338948124,10.113219926911189,8.977427276842803,0
583092263,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_49_368176_6,530575,12053,682719180,583092263,213,255,287,19_30_49_368176_6.jpg,68271/9180.jpg,212.0,245.0,267.0,3811.0,1331.0,0.8243825463586283,56380.0,56380.0,0.0,284.0611111216776,256.26233403636815,1461.8988116353316,3939.889357928344,57295.0,927.0498192558056,1.1084778111845508,0.016442884342955,3.263557674597364,0.8243825463586283,116.87077067662749,65415.0,0.43144751329546,267.92768713249563,1.0,0.8618818313842391,128.88935792834337,130.89881163533167,0.9840300200715596,17.744466122738558,116.84100744945016,29.839854558354027,28.24451260747872,35.04011707645631,40.70524984745578,0
583092264,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_50_808522_0,530575,12053,682719181,583092264,214,163,171,19_30_50_808522_0.jpg,68271/9181.jpg,213.0,153.0,151.0,3903.0,65.0,0.8271018032201326,18981.0,18981.0,0.0,163.579436417244,150.82458499825788,138.38517464833254,3986.143037774617,19292.0,537.0132393293463,1.0845674557575176,0.0282921468483929,3.282889653437736,0.8271018032201326,155.67922854651547,23103.0,0.387126624244248,155.45854688185568,1.0,0.8215816127775614,83.14303777461672,73.38517464833254,0.9838793282189509,34.01185395922238,127.46393762183236,62.21136926400085,51.8365029738645,38.416691525038274,47.49340942718938,0
583092265,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_50_808522_1,530575,12053,682719182,583092265,215,424,275,19_30_50_808522_1.jpg,68271/9182.jpg,214.0,404.0,255.0,2851.0,813.0,0.6893770033884596,71971.0,71971.0,0.0,374.8219164675988,248.2271761238229,936.7262230620668,3043.564046629893,75289.0,1145.3950570473662,1.509995490101482,0.0159146747585467,3.0558380039294715,0.6893770033884596,1.1205324910628605,103020.0,0.749279737359877,302.71492079865243,1.0,0.698611920015531,192.5640466298926,123.72622306206668,0.9559298171047564,20.915327006711035,145.9046560420169,49.03404148893304,30.052110009333813,38.03852701654205,42.99633098820873,0
583092266,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_50_808522_2,530575,12053,682719183,583092266,216,325,303,19_30_50_808522_2.jpg,68271/9183.jpg,215.0,305.0,283.0,3369.0,963.0,0.8159841576645918,65475.0,65475.0,0.0,323.2255058320874,261.4389960053204,1111.2594883543338,3522.52630775105,66444.0,1004.1574669941303,1.2363324170106191,0.0153365019777644,3.1066776874835518,0.8159841576645918,137.9371930349218,86315.0,0.5880233489464692,288.7305996799348,1.0,0.7585587673057985,153.52630775105,148.2594883543337,0.9854162904099693,21.5092630775105,128.92768232149675,41.03718976708667,28.972449720279037,34.81740831449047,50.05350607019005,0
583092267,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_50_808522_3,530575,12053,682719184,583092267,217,395,384,19_30_50_808522_3.jpg,68271/9184.jpg,216.0,375.0,364.0,3491.0,1468.0,0.7982806411672649,102621.0,102621.0,0.0,382.436002845236,346.06618524760574,1645.6377349665274,3677.4440319232895,104948.0,1270.999133448223,1.105094976475694,0.0123853707666873,3.3234296038873983,0.7982806411672649,46.53631867523223,136500.0,0.4256250902867298,361.4707668958406,1.0,0.7518021978021978,186.44403192329057,177.63773496652732,0.9778271143804552,24.38231940830824,149.41482737451398,58.076290427885134,36.70415268677913,39.74781629120992,53.60670658482625,0
583092268,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_52_284030_0,530575,12053,682719185,583092268,218,407,362,19_30_52_284030_0.jpg,68271/9185.jpg,217.0,387.0,342.0,2800.0,18.0,0.8083627843508313,94909.0,94909.0,0.0,398.6175723402303,306.5252183590755,186.35701566763956,2980.4753816814,96517.0,1214.662084352125,1.3004397304540023,0.0127981759828059,3.0471864981290384,0.8083627843508313,30.616318348623203,132354.0,0.6392840694698995,347.6232039885565,1.0,0.7170844855463379,180.47538168140008,168.35701566763953,0.9833397225359264,27.285357553024475,137.2830500795499,87.36841606170121,38.98561861712016,43.1800589007607,62.32039428245376,0
583092269,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_52_284030_1,530575,12053,682719186,583092269,219,246,361,19_30_52_284030_1.jpg,68271/9186.jpg,218.0,236.0,341.0,3820.0,719.0,0.693075650397262,62961.0,62961.0,0.0,334.7429084565889,250.68318158597432,882.7177300233478,3952.3777894252,64966.0,1068.4406922210658,1.335322562681715,0.0169698812315729,3.19182472646654,0.693075650397262,94.1649642182566,80476.0,0.66270254536271,283.13324597452447,1.0,0.7823574730354391,132.37778942519972,163.7177300233478,0.9691377027983868,20.416067089150427,146.9798923142898,72.32893378440622,29.74096933539365,40.83643243789029,61.42401335507174,0
583092270,1835272,18:48:16,-90.0,0.0,0.0,0.0,2023-09-16,19_30_52_284030_2,530575,12053,682719187,583092270,220,154,172,19_30_52_284030_2.jpg,68271/9187.jpg,219.0,134.0,152.0,2888.0,1645.0,0.6220506441841592,13467.0,13467.0,0.0,136.66329082905838,127.4755377630418,1713.2418504492464,2952.8324051384866,14669.0,521.58787847868,1.0720746366498588,0.0387308144708309,3.816590946365357,0.6220506441841592,110.05005835188518,20368.0,0.3604698175236216,130.94547318998255,1.0,0.6611842105263158,64.83240513848668,68.2418504492463,0.9180584906946622,44.92195737729264,100.62939036162471,127.05004826613202,59.17660367329847,46.35747156039841,53.58637316229328,0
